time,theta1,theta2,theta1_dot,theta2_dot,theta1kal,theta2kal,theta1_dotkal,theta2_dotkal
780,0,0,0,0,0,0,0,0
790,0,0,0,0,0,0,0,0
800,0,0,0,0,0,0,0,0
810,0,0,0,0,0,0,0,0
820,0,0,0,0,0,0,0,0
830,0,0,0,0,0,0,0,0
840,0,0,0,0,0,0,0,0
850,0,0,0,0,0,0,0,0
860,0,0,0,0,0,0,0,0
870,0,0,0,0,0,0,0,0
880,0,0,0,0,0,0,0,0
890,0,0,0,0,0,0,0,0
900,0,0,0,0,0,0,0,0
910,0,0,0,0,0,0,0,0
920,0,0,0,0,0,0,0,0
930,0,0,0,0,0,0,0,0
940,0,0,0,0,0,0,0,0
950,0,0,0,0,0,0,0,0
960,0,0,0,0,0,0,0,0
970,0,0,0,0,0,0,0,0
980,0,0,0,0,0,0,0,0
990,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0
1010,0,0,0,0,0,0,0,0
1020,0,0,0,0,0,0,0,0
1030,0,0,0,0,0,0,0,0
1040,0,0,0,0,0,0,0,0
1050,0,0,0,0,0,0,0,0
1060,0,0,0,0,0,0,0,0
1070,0,0,0,0,0,0,0,0
1080,0,0,0,0,0,0,0,0
1090,0,0,0,0,0,0,0,0
1100,0,0,0,0,0,0,0,0
1110,0,0,0,0,0,0,0,0
1120,0,0,0,0,0,0,0,0
1130,0,0,0,0,0,0,0,0
1140,0,0,0,0,0,0,0,0
1150,0,0,0,0,0,0,0,0
1160,0,0,0,0,0,0,0,0
1170,0,0,0,0,0,0,0,0
1180,0,0,0,0,0,0,0,0
1190,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,0
1210,0,0,0,0,0,0,0,0
1220,0,0,0,0,0,0,0,0
1230,0,0,0,0,0,0,0,0
1240,0,0,0,0,0,0,0,0
1250,0,0,0,0,0,0,0,0
1260,0,0,0,0,0,0,0,0
1270,0,0,0,0,0,0,0,0
1280,0,0,0,0,0,0,0,0
1290,0,0,0,0,0,0,0,0
1300,0,0,0,0,0,0,0,0
1310,0,0,0,0,0,0,0,0
1320,0,0,0,0,0,0,0,0
1330,0,0,0,0,0,0,0,0
1340,0,0,0,0,0,0,0,0
1350,0,0,0,0,0,0,0,0
1360,0,0,0,0,0,0,0,0
1370,0,0,0,0,0,0,0,0
1380,0,0,0,0,0,0,0,0
1390,0,0,0,0,0,0,0,0
1400,0,0,0,0,0,0,0,0
1410,0,0,0,0,0,0,0,0
1420,0,0,0,0,0,0,0,0
1430,0,0,0,0,0,0,0,0
1440,0,0,0,0,0,0,0,0
1450,0,0,0,0,0,0,0,0
1460,0,0,0,0,0,0,0,0
1470,0,0,0,0,0,0,0,0
1480,0,0,0,0,0,0,0,0
1490,0,0,0,0,0,0,0,0
1500,0,0,0,0,0,0,0,0
1510,0,0,0,0,0,0,0,0
1520,0,0,0,0,0,0,0,0
1530,0,0,0,0,0,0,0,0
1540,0,0,0,0,0,0,0,0
1550,0,0,0,0,0,0,0,0
1560,0,0,0,0,0,0,0,0
1570,0,0,0,0,0,0,0,0
1580,0,0,0,0,0,0,0,0
1590,0,0,0,0,0,0,0,0
1600,0,0,0,0,0,0,0,0
1610,0,0,0,0,0,0,0,0
1620,0,0,0,0,0,0,0,0
1630,0,0,0,0,0,0,0,0
1640,0,0,0,0,0,0,0,0
1650,0,0,0,0,0,0,0,0
1660,0,0,0,0,0,0,0,0
1670,0,0,0,0,0,0,0,0
1680,0,0,0,0,0,0,0,0
1690,0,0,0,0,0,0,0,0
1700,0,0,0,0,0,0,0,0
1710,0,0,0,0,0,0,0,0
1720,0,0,0,0,0,0,0,0
1730,0,0,0,0,0,0,0,0
1740,0,0,0,0,0,0,0,0
1750,0,0,0,0,0,0,0,0
1760,0,0,0,0,0,0,0,0
1770,0,0,0,0,0,0,0,0
1780,0,0,0,0,0,0,0,0
1790,0,0,0,0,0,0,0,0
1800,0,0,0,0,0,0,0,0
1810,0,0,0,0,0,0,0,0
1820,0,0,0,0,0,0,0,0
1830,0,0,0,0,0,0,0,0
1840,0,0,0,0,0,0,0,0
1850,0,0,0,0,0,0,0,0
1860,0,0,0,0,0,0,0,0
1870,0,0,0,0,0,0,0,0
1880,0,0,0,0,0,0,0,0
1890,0,0,0,0,0,0,0,0
1900,0,0,0,0,0,0,0,0
1910,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,0,0
1930,0,0,0,0,0,0,0,0
1940,0,0,0,0,0,0,0,0
1950,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0,0,0
2040,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0,0,0
2070,0,0,0,0,0,0,0,0
2080,0,0,0,0,0,0,0,0
2090,0,0,0,0,0,0,0,0
2100,0,0,0,0,0,0,0,0
2110,0,0,0,0,0,0,0,0
2120,0,0,0,0,0,0,0,0
2130,0,0,0,0,0,0,0,0
2140,0,0,0,0,0,0,0,0
2150,0,0,0,0,0,0,0,0
2160,0,0,0,0,0,0,0,0
2170,0,0,0,0,0,0,0,0
2180,0,0,0,0,0,0,0,0
2190,0,0,0,0,0,0,0,0
2200,0,0,0,0,0,0,0,0
2210,0,0,0,0,0,0,0,0
2220,0,0,0,0,0,0,0,0
2230,0,0,0,0,0,0,0,0
2240,0,0,0,0,0,0,0,0
2250,0,0,0,0,0,0,0,0
2260,0,0,0,0,0,0,0,0
2270,0,0,0,0,0,0,0,0
2280,0,0,0,0,0,0,0,0
2290,0,0,0,0,0,0,0,0
2300,0,0,0,0,0,0,0,0
2310,0,0,0,0,0,0,0,0
2320,0,0,0,0,0,0,0,0
2330,0,0,0,0,0,0,0,0
2340,0,0,0,0,0,0,0,0
2350,0,0,0,0,0,0,0,0
2360,0,0,0,0,0,0,0,0
2370,0,0,0,0,0,0,0,0
2380,0,0,0,0,0,0,0,0
2390,0,0,0,0,0,0,0,0
2400,0,0,0,0,0,0,0,0
2410,0,0,0,0,0,0,0,0
2420,0,0,0,0,0,0,0,0
2430,0,0,0,0,0,0,0,0
2440,0,0,0,0,0,0,0,0
2450,0,0,0,0,0,0,0,0
2460,0,0,0,0,0,0,0,0
2470,0,0,0,0,0,0,0,0
2480,0,0,0,0,0,0,0,0
2490,0,0,0,0,0,0,0,0
2500,0,0,0,0,0,0,0,0
2510,0,0,0,0,0,0,0,0
2520,0,0,0,0,0,0,0,0
2530,0,0,0,0,0,0,0,0
2540,0,0,0,0,0,0,0,0
2550,0,0,0,0,0,0,0,0
2560,0,0,0,0,0,0,0,0
2570,0,0,0,0,0,0,0,0
2580,0,0,0,0,0,0,0,0
2590,0,0,0,0,0,0,0,0
2600,0,0,0,0,0,0,0,0
2610,0,0,0,0,0,0,0,0
2620,0,0,0,0,0,0,0,0
2630,0,0,0,0,0,0,0,0
2640,0,0,0,0,0,0,0,0
2650,0,0,0,0,0,0,0,0
2660,0,0,0,0,0,0,0,0
2670,0,0,0,0,0,0,0,0
2680,0,0,0,0,0,0,0,0
2690,0,0,0,0,0,0,0,0
2700,0,0,0,0,0,0,0,0
2710,0,0,0,0,0,0,0,0
2720,0,0,0,0,0,0,0,0
2730,0,0,0,0,0,0,0,0
2740,0,0,0,0,0,0,0,0
2750,0,0,0,0,0,0,0,0
2760,0,0,0,0,0,0,0,0
2770,0,0,0,0,0,0,0,0
2780,0,0,0,0,0,0,0,0
2790,0,0,0,0,0,0,0,0
2800,0,0,0,0,0,0,0,0
2810,0,0,0,0,0,0,0,0
2820,0,0,0,0,0,0,0,0
2830,0,0,0,0,0,0,0,0
2840,0,0,0,0,0,0,0,0
2850,0,0,0,0,0,0,0,0
2860,0,0,0,0,0,0,0,0
2870,0,0,0,0,0,0,0,0
2880,0,0,0,0,0,0,0,0
2890,0,0,0,0,0,0,0,0
2900,0,0,0,0,0,0,0,0
2910,0,0,0,0,0,0,0,0
2920,0,0,0,0,0,0,0,0
2930,0,0,0,0,0,0,0,0
2940,0,0,0,0,0,0,0,0
2950,0,0,0,0,0,0,0,0
2960,0,0,0,0,0,0,0,0
2970,0,0,0,0,0,0,0,0
2980,0,0,0,0,0,0,0,0
2990,0,0,0,0,0,0,0,0
3000,0,0,0,0,0,0,0,0
3010,0,0,0,0,0,0,0,0
3020,0,0,0,0,0,0,0,0
3030,0,0,0,0,0,0,0,0
3040,0,0,0,0,0,0,0,0
3050,0,0,0,0,0,0,0,0
3060,0,0,0,0,0,0,0,0
3070,0,0,0,0,0,0,0,0
3080,0,0,0,0,0,0,0,0
3090,0,0,0,0,0,0,0,0
3100,0,0,0,0,0,0,0,0
3110,0,0,0,0,0,0,0,0
3120,0,0,0,0,0,0,0,0
3130,0,0,0,0,0,0,0,0
3140,0.0161429,0,0,0,0,-0.0104774,0,0
3150,-0.0309636,0,0,0,-0.00455032,-0.00332245,2.4611e-06,0.000447944
3160,0.138751,0,0,0,-0.00455032,-0.00332245,2.4611e-06,0.000447944
3170,-0.49614,0.0314159,0.0548311,3.14159,0.0196913,-0.137215,0.0146158,1.2217
3180,-0.548024,0.0471239,0.0548311,1.5708,-0.143985,-0.644592,0.0374852,2.56333
3190,-0.52839,0.0471239,0.0274156,1.5708,-0.143985,-0.644592,0.0374852,2.56333
3200,-0.0358386,0.0314159,-0.0274156,-1.5708,-0.374388,-1.36861,0.0630345,3.96312
3210,-0.125957,0.0471239,-0.0274156,1.5708,-0.275068,-1.0652,0.0847011,2.3767
3220,-2.01424,0.0471239,0.0274156,1.5708,-0.275068,-1.0652,0.0847011,2.3767
3230,-0.12005,0.0471239,0,0,-0.00467944,-0.252274,0.0862821,0.442321
3240,0.176938,0.0471239,0,0,-0.00467944,-0.252274,0.0862821,0.442321
3250,-0.109281,0.015708,-0.0548311,-3.14159,0.217984,0.592913,0.0669424,-1.45915
3260,-0.2409,0.0314159,0.0274156,1.5708,0.409946,1.45909,0.0388864,-3.20303
3270,-0.238831,0.0314159,0.0274156,1.5708,0.409946,1.45909,0.0388864,-3.20303
3280,0.153248,0.015708,0.0274156,-1.5708,0.493752,1.70041,0.0113127,-2.17847
3290,0.281439,0.015708,-0.0274156,-1.5708,0.493752,1.70041,0.0113127,-2.17847
3300,-0.135493,0,-0.0274156,-1.5708,0.47612,1.95628,-0.012094,-3.09942
3310,-3.02883,0,-0.0274156,-1.5708,0.47612,1.95628,-0.012094,-3.09942
3320,0.25707,0.015708,0.0274156,1.5708,0.483761,1.95281,-0.0282152,-1.79546
3330,-0.12961,0,0.0274156,-1.5708,0.424021,2.04549,-0.0421859,-2.75551
3340,-0.96811,0.0471239,-0.0274156,4.71239,0.463983,2.49089,-0.0564895,-3.89058
3350,-0.916886,0.0471239,0.0822467,4.71239,0.463983,2.49089,-0.0564895,-3.89058
3360,0.669732,0.015708,-0.0548311,-3.14159,0.545157,3.11034,-0.0848418,-5.16946
3370,0.741885,0.0314159,-0.0548311,1.5708,0.582434,3.52981,-0.114798,-6.08794
3380,0.613186,0.0314159,0.0274156,1.5708,0.582434,3.52981,-0.114798,-6.08794
3390,0.895979,0.015708,0.0274156,-1.5708,0.588769,3.78614,-0.149649,-6.76342
3400,1.00366,0.0314159,-0.0274156,1.5708,0.543868,3.40392,-0.170599,-4.60245
3410,0.931691,0.0314159,0.0274156,1.5708,0.543868,3.40392,-0.170599,-4.60245
3420,0.890135,0.0314159,0.0274156,0,0.46515,2.84243,-0.170485,-2.34846
3430,0.387308,0.0314159,0,0,0.46515,2.84243,-0.170485,-2.34846
3440,0.391405,0.0471239,0.0274156,1.5708,0.358819,2.12085,-0.149184,-0.0252143
3450,0.476998,0.0314159,0.0274156,-1.5708,0.241831,1.32895,-0.115051,2.18596
3460,-1.43245,0.0314159,-0.0274156,0,0.122605,0.513306,-0.068049,4.25082
3470,-0.000816326,0.0314159,0,0,0.122605,0.513306,-0.068049,4.25082
3480,-0.370334,0.0314159,0,0,0.0376714,-0.106311,-0.0120132,5.8889
3490,-0.0734309,0.0314159,0,0,0.0376714,-0.106311,-0.0120132,5.8889
3500,-1.14665,0.0471239,0,1.5708,-0.0154795,-0.1803,0.0407383,4.72479
3510,-1.19155,0.0471239,0.0274156,1.5708,-0.0154795,-0.1803,0.0407383,4.72479
3520,-0.346455,0.0314159,0.0274156,-1.5708,0.0373048,0.374614,0.0713652,2.71729
3530,0.218949,0.0314159,-0.0274156,-1.5708,0.0373048,0.374614,0.0713652,2.71729
3540,-0.0329222,0.0314159,0,0,0.11773,1.0864,0.0806089,0.591426
3550,0.0680991,0.0628318,0,3.14159,0.177345,1.64051,0.076549,-1.14907
3560,0.84622,0.0628318,0.0548311,0,0.219872,1.71233,0.06906,-0.188226
3570,1.09569,0.0628318,0,0,0.219872,1.71233,0.06906,-0.188226
3580,0.577948,0.0785398,0.0274156,1.5708,0.19441,1.34468,0.0748088,1.39158
3590,0.521032,0.0785398,0.0274156,0,0.158729,0.930123,0.0928355,2.9394
3600,0.789133,0.0785398,0,0,0.158729,0.930123,0.0928355,2.9394
3610,1.05813,0.0942478,0.0274156,1.5708,0.110736,0.449399,0.123945,4.49835
3620,0.0506812,0.0942478,0.0274156,0,0.0485794,-0.10863,0.163717,6.04145
3630,0.178259,0.0942478,0,0,0.0485794,-0.10863,0.163717,6.04145
3640,0.552161,0.125664,0.0548311,3.14159,0.00874152,-0.484483,0.214527,7.19775
3650,0.019953,0.125664,0.0548311,0,-0.0562394,-1.02305,0.268171,8.47372
3660,0.0356991,0.125664,0,0,-0.0562394,-1.02305,0.268171,8.47372
3670,-0.393869,0.125664,0,0,-0.119403,-1.52489,0.324396,9.53964
3680,-0.388876,0.15708,0,3.14159,-0.171202,-1.9237,0.385514,10.335
3690,-0.447017,0.15708,0.0548311,3.14159,-0.171202,-1.9237,0.385514,10.335
3700,-0.447017,0.15708,0.0548311,0,-0.231887,-2.37124,0.444357,11.0732
3710,-1.18526,0.15708,0,0,-0.231887,-2.37124,0.444357,11.0732
3720,-1.64166,0.141372,-0.0274156,-1.5708,-0.274728,-2.31308,0.486744,8.99056
3730,-0.603626,0.15708,-0.0274156,1.5708,-0.256574,-1.81795,0.504188,6.22249
3740,0.325513,0.15708,0.0274156,1.5708,-0.256574,-1.81795,0.504188,6.22249
3750,0.346981,0.172788,0.0274156,1.5708,-0.216535,-1.2026,0.497078,3.39578
3760,0.251426,0.172788,0.0274156,0,-0.185694,-0.714841,0.468655,0.969727
3770,0.354643,0.172788,0,0,-0.185694,-0.714841,0.468655,0.969727
3780,0.49645,0.188496,0.0274156,1.5708,-0.160306,-0.668312,0.437836,1.30703
3790,0.408415,0.204204,0.0274156,1.5708,-0.142694,-0.677639,0.417233,1.78919
3800,0.689369,0.204204,0.0274156,1.5708,-0.142694,-0.677639,0.417233,1.78919
3810,0.388994,0.235619,0.0548311,3.14159,-0.183679,-1.15975,0.414623,3.19275
3820,-0.149922,0.235619,0,0,-0.230971,-1.66056,0.423997,4.53336
3830,-0.0961113,0.251327,0,1.5708,-0.257661,-1.96011,0.44267,5.40876
3840,0.0821092,0.251327,0.0274156,1.5708,-0.257661,-1.96011,0.44267,5.40876
3850,0.217411,0.251327,0.0274156,0,-0.304568,-2.4055,0.467895,6.47773
3860,-0.467524,0.282743,0,3.14159,-0.340935,-2.54699,0.49584,5.9376
3870,-0.063141,0.282743,0.0548312,3.14159,-0.340935,-2.54699,0.49584,5.9376
3880,-0.632926,0.314159,0.0548312,3.14159,-0.349111,-2.65176,0.52141,6.29103
3890,-0.242333,0.314159,0.0548311,3.14159,-0.349111,-2.65176,0.52141,6.29103
3900,-0.207429,0.314159,0,0,-0.352489,-2.35718,0.534819,4.08709
3910,-0.384344,0.329867,0,1.5708,-0.335184,-1.93313,0.527918,1.74772
3920,-0.3037,0.329867,0.0274156,0,-0.303937,-1.43878,0.500936,-0.595734
3930,-0.172541,0.329867,0,0,-0.303937,-1.43878,0.500936,-0.595734
3940,-0.271471,0.314159,-0.0274156,-1.5708,-0.278207,-1.04113,0.457621,-2.59782
3950,-0.294128,0.314159,-0.0274156,0,-0.240758,-0.587694,0.402929,-4.54207
3960,-0.300493,0.314159,0,0,-0.240758,-0.587694,0.402929,-4.54207
3970,0.137745,0.314159,0,0,-0.190662,-0.0698527,0.338665,-6.43416
3980,-0.121133,0.298451,0,-1.57079,-0.147116,0.347973,0.267568,-7.94665
3990,-0.220139,0.298451,-0.0274155,-1.57079,-0.147116,0.347973,0.267568,-7.94665
4000,-0.0532491,0.314159,0.0274155,1.57079,-0.0891766,0.85097,0.195075,-9.42705
4010,-0.35833,0.298451,0.0274155,-1.57079,-0.0284574,1.34279,0.118492,-10.7193
4020,-0.405268,0.298451,-0.0274155,-1.57079,-0.0284574,1.34279,0.118492,-10.7193
4030,-0.409567,0.298451,0,0,0.0295446,1.77571,0.0438298,-11.7011
4040,0.0444152,0.267035,0,-3.14159,0.0897563,2.20415,-0.0327791,-12.5483
4050,-0.321488,0.267035,-0.0548312,-3.14159,0.0897563,2.20415,-0.0327791,-12.5483
4060,0.12498,0.251327,-0.0274156,-1.5708,0.158985,2.68681,-0.108399,-13.3576
4070,0.39149,0.235619,-0.0274156,-1.5708,0.218557,2.71505,-0.169421,-11.4038
4080,1.17009,0.235619,-0.0274156,-1.5708,0.218557,2.71505,-0.169421,-11.4038
4090,0.187309,0.235619,-0.0274156,0,0.252371,2.89765,-0.21024,-11.4379
4100,0.470217,0.251327,0,1.5708,0.275457,2.63318,-0.230549,-8.7841
4110,0.470217,0.251327,0,1.5708,0.275457,2.63318,-0.230549,-8.7841
4120,0.470217,0.251327,0,1.5708,0.275457,2.63318,-0.230549,-8.7841
4130,0.171193,0.235619,0.0274156,-1.5708,0.26614,2.14187,-0.222818,-5.78471
4140,-0.00789717,0.235619,-0.0274156,-1.5708,0.26614,2.14187,-0.222818,-5.78471
4150,0.375113,0.235619,0,0,0.252487,1.67887,-0.191502,-3.01221
4160,0.167222,0.251327,0,1.5708,0.22563,1.16033,-0.137705,-0.290304
4170,0.0611618,0.251327,0.0274156,1.5708,0.22563,1.16033,-0.137705,-0.290304
4180,-0.0430446,0.267035,0.0274156,1.5708,0.198095,0.698137,-0.0680051,2.11286
4190,0.214657,0.267035,0.0274156,1.5708,0.198095,0.698137,-0.0680051,2.11286
4200,0.252221,0.314159,0.0822467,4.71239,0.166669,0.253171,0.0184137,4.31972
4210,0.163582,0.314159,0.0822467,0,0.127877,-0.201379,0.110486,6.30815
4220,-0.0211236,0.329867,0,1.5708,0.0831448,-0.66031,0.208297,8.09823
4230,0.0767719,0.329867,0.0274156,1.5708,0.0831448,-0.66031,0.208297,8.09823
4240,-0.112662,0.329867,0,0,0.0384924,-1.07133,0.305453,9.55676
4250,-0.0255758,0.361283,0,3.14159,-0.0098656,-1.47976,0.405356,10.841
4260,0.468222,0.361283,0.0548312,3.14159,-0.0098656,-1.47976,0.405356,10.841
4270,0.182168,0.408407,0.0822467,4.71239,-0.0582848,-1.85758,0.507524,11.9095
4280,-0.12617,0.455531,0.0822467,4.71239,-0.11217,-2.25655,0.610902,12.8765
4290,0.0149931,0.455531,0.0822467,4.71239,-0.11217,-2.25655,0.610902,12.8765
4300,-1.06273,0.455531,0,0,-0.178238,-2.7315,0.708512,13.7978
4310,0.505321,0.471239,0,1.57079,-0.255793,-3.23044,0.802108,14.359
4320,-0.628064,0.471239,0.0274155,1.57079,-0.255793,-3.23044,0.802108,14.359
4330,-2.15987,0.518363,0.0274155,4.71239,-0.348565,-3.54913,0.88778,12.9921
4340,-1.15074,0.534071,0.0822467,1.5708,-0.392488,-3.79662,0.950222,13.0589
4350,-0.13296,0.534071,0.0274156,1.5708,-0.392488,-3.79662,0.950222,13.0589
4360,-0.621353,0.565487,0.0274156,3.14159,-0.433574,-3.66806,0.997902,10.6108
4370,-0.263341,0.565487,0.0548312,3.14159,-0.433574,-3.66806,0.997902,10.6108
4380,-1.18611,0.549779,-0.0274156,-1.5708,-0.456282,-3.42031,1.01198,7.93223
4390,-0.360412,0.565487,0.0274156,1.5708,-0.477747,-3.21891,1.00498,5.48442
4400,-0.311743,0.565487,0.0274156,0,-0.492546,-3.00807,0.977731,3.13415
4410,-0.502843,0.565487,0,0,-0.492546,-3.00807,0.977731,3.13415
4420,-0.534059,0.565487,0,0,-0.48865,-2.68054,0.931499,0.678155
4430,-0.386357,0.565487,0,0,-0.48865,-2.68054,0.931499,0.678155
4440,-0.372626,0.534071,-0.0548312,-3.14159,-0.474428,-2.31139,0.865315,-1.72715
4450,-0.389251,0.534071,-0.0548312,0,-0.457401,-1.97325,0.789576,-3.85433
4460,-0.439387,0.534071,0,0,-0.457401,-1.97325,0.789576,-3.85433
4470,-0.593503,0.534071,0,0,-0.457401,-1.97325,0.789576,-3.85433
4480,-0.469014,0.534071,0,0,-0.439321,-1.67499,0.707895,-5.6944
4490,-0.469014,0.534071,0,0,-0.439321,-1.67499,0.707895,-5.6944
4500,-0.744795,0.518363,-0.0274156,-1.5708,-0.41328,-1.34722,0.619392,-7.42256
4510,-1.05194,0.486947,-0.0274156,-3.14159,-0.391946,-1.09961,0.526561,-8.81687
4520,-0.27088,0.486947,-0.0548312,-3.14159,-0.391946,-1.09961,0.526561,-8.81687
4530,-0.367479,0.471239,-0.0548312,-1.5708,-0.361133,-0.801165,0.432095,-10.1467
4540,-0.614512,0.471239,-0.0274156,-1.5708,-0.361133,-0.801165,0.432095,-10.1467
4550,-0.404984,0.455531,-0.0274155,-1.57079,-0.327906,-0.513972,0.338249,-11.2795
4560,-0.317394,0.455531,-0.0274155,0,-0.295173,-0.262067,0.249658,-12.1529
4570,-1.08213,0.455531,0,0,-0.295173,-0.262067,0.249658,-12.1529
4580,-0.391948,0.471239,0.0274155,1.57079,-0.262115,-0.0338702,0.169705,-12.7942
4590,-0.66434,0.471239,0.0274155,0,-0.227017,0.193636,0.095944,-13.2973
4600,-0.183702,0.455531,0,-1.57079,-0.184258,0.474662,0.0250611,-13.806
4610,-0.573792,0.455531,-0.0274155,-1.57079,-0.184258,0.474662,0.0250611,-13.806
4620,-0.573792,0.455531,-0.0274155,-1.57079,-0.184258,0.474662,0.0250611,-13.806
4630,-0.662822,0.439823,-0.0274156,-1.5708,-0.133526,0.810417,-0.0432101,-14.3178
4640,0.224848,0.408407,-0.0274156,-3.14159,-0.0877515,1.0868,-0.108698,-14.6073
4650,-0.550156,0.408407,-0.0548312,-3.14159,-0.0877515,1.0868,-0.108698,-14.6073
4660,0.163437,0.392699,-0.0274156,-1.5708,-0.0297818,1.45919,-0.171348,-14.9992
4670,-0.249236,0.329867,-0.0274156,-6.28319,0.0259168,1.45672,-0.226674,-12.8929
4680,-0.204484,0.329867,-0.109662,-6.28319,0.0259168,1.45672,-0.226674,-12.8929
4690,-0.638421,0.298451,-0.0548311,-3.14159,0.0835153,1.85681,-0.271297,-13.3372
4700,-0.291021,0.298451,-0.0548311,0,0.13382,2.17246,-0.310252,-13.4863
4710,-1.16651,0.298451,0,0,0.13382,2.17246,-0.310252,-13.4863
4720,-0.220494,0.267035,-0.0548312,-3.14159,0.185405,2.49266,-0.349383,-13.6037
4730,-1.18283,0.267035,-0.0548312,0,0.246968,2.89004,-0.38506,-13.7969
4740,0.0851181,0.267035,0,0,0.246968,2.89004,-0.38506,-13.7969
4750,-1.1752,0.235619,-0.0548312,-3.14159,0.332155,3.48771,-0.426543,-14.3654
4760,-1.53057,0.219911,-0.0548312,-1.57079,0.423776,4.11906,-0.469058,-14.8902
4770,-1.9472,0.219911,-0.0274155,-1.57079,0.423776,4.11906,-0.469058,-14.8902
4780,-0.200029,0.235619,-0.0274155,1.57079,0.51705,4.39311,-0.496328,-12.8464
4790,1.23161,0.219911,0.0274155,-1.57079,0.589274,4.86008,-0.510106,-12.9042
4800,2.30191,0.219911,-0.0274155,-1.57079,0.589274,4.86008,-0.510106,-12.9042
4810,0.924518,0.188496,-0.0274155,-3.14159,0.64507,5.1725,-0.522352,-12.6017
4820,1.97085,0.172788,-0.0548311,-1.5708,0.690238,5.04446,-0.519504,-9.68682
4830,0.956405,0.172788,-0.0274156,-1.5708,0.690238,5.04446,-0.519504,-9.68682
4840,2.0487,0.15708,-0.0274156,-1.5708,0.707004,4.72305,-0.489298,-6.49996
4850,0.541425,0.15708,-0.0274156,-1.5708,0.707004,4.72305,-0.489298,-6.49996
4860,1.6506,0.125664,-0.0548311,-3.14159,0.70391,4.29625,-0.438313,-3.31159
4870,0.609941,0.0942478,-0.0548311,-3.14159,0.689142,3.83903,-0.371449,-0.313362
4880,0.498765,0.0942478,-0.0548311,-3.14159,0.689142,3.83903,-0.371449,-0.313362
